age,sex_id,region_id,expected_age
0,2,2,73.11801
0,2,3,73.11258
0,2,4,73.35439
0,2,5,72.75905
1,2,1,73.89581
1,2,2,74.04272
1,2,3,73.96864
1,2,4,74.2434
1,2,5,73.73294
2,2,1,73.94379
2,2,2,74.12974
2,2,3,74.02987
2,2,4,74.30229
2,2,5,73.80412
3,2,1,73.96718
3,2,2,74.16912
3,2,3,74.063
3,2,4,74.33138
3,2,5,73.83612
4,2,1,73.98396
4,2,2,74.1942
4,2,3,74.08434
4,2,4,74.3519
4,2,5,73.85719
5,2,1,73.99816
5,2,2,74.21634
5,2,3,74.10034
5,2,4,74.36884
5,2,5,73.87574
6,2,1,74.01113
6,2,2,74.23394
6,2,3,74.1197
6,2,4,74.38429
6,2,5,73.89379
7,2,1,74.0229
7,2,2,74.25126
7,2,3,74.1351
7,2,4,74.39807
7,2,5,73.90766
8,2,1,74.03286
8,2,2,74.26643
8,2,3,74.14671
8,2,4,74.40961
8,2,5,73.91939
9,2,1,74.04284
9,2,2,74.27805
9,2,3,74.15816
9,2,4,74.42068
9,2,5,73.9307
10,2,1,74.05666
10,2,2,74.29382
10,2,3,74.17052
10,2,4,74.43583
10,2,5,73.94754
11,2,1,74.07891
11,2,2,74.32013
11,2,3,74.19831
11,2,4,74.45931
11,2,5,73.97157
12,2,1,74.11021
12,2,2,74.35139
12,2,3,74.22896
12,2,4,74.48955
12,2,5,74.0051
13,2,1,74.14971
13,2,2,74.38776
13,2,3,74.26672
13,2,4,74.52597
13,2,5,74.04488
14,2,1,74.19883
14,2,2,74.42694
14,2,3,74.31341
14,2,4,74.56791
14,2,5,74.09224
15,2,1,74.25742
15,2,2,74.4731
15,2,3,74.36354
15,2,4,74.6155
15,2,5,74.14645
16,2,1,74.32566
16,2,2,74.51983
16,2,3,74.42212
16,2,4,74.66808
16,2,5,74.20659
17,2,1,74.40392
17,2,2,74.56996
17,2,3,74.48481
17,2,4,74.72555
17,2,5,74.27367
18,2,1,74.49147
18,2,2,74.62243
18,2,3,74.55341
18,2,4,74.78708
18,2,5,74.34575
19,2,1,74.58654
19,2,2,74.67802
19,2,3,74.62392
19,2,4,74.85213
19,2,5,74.42324
20,2,1,74.68679
20,2,2,74.7375
20,2,3,74.70233
20,2,4,74.92047
20,2,5,74.50397
21,2,1,74.79111
21,2,2,74.79773
21,2,3,74.78286
21,2,4,74.99225
21,2,5,74.58936
22,2,1,74.8982
22,2,2,74.86232
22,2,3,74.86396
22,2,4,75.0663
22,2,5,74.67677
23,2,1,75.00732
23,2,2,74.92853
23,2,3,74.94946
23,2,4,75.14313
23,2,5,74.76701
24,2,1,75.11794
24,2,2,74.99715
24,2,3,75.03648
24,2,4,75.22223
24,2,5,74.85933
25,2,1,75.23063
25,2,2,75.06883
25,2,3,75.12527
25,2,4,75.30299
25,2,5,74.9538
26,2,1,75.34523
26,2,2,75.14183
26,2,3,75.21595
26,2,4,75.38556
26,2,5,75.05052
27,2,1,75.46096
27,2,2,75.21351
27,2,3,75.30836
27,2,4,75.46967
27,2,5,75.14845
28,2,1,75.578
28,2,2,75.29141
28,2,3,75.40355
28,2,4,75.55533
28,2,5,75.2484
29,2,1,75.69529
29,2,2,75.36812
29,2,3,75.49919
29,2,4,75.64277
29,2,5,75.34899
30,2,1,75.81303
30,2,2,75.44977
30,2,3,75.59805
30,2,4,75.73186
30,2,5,75.45143
31,2,1,75.93115
31,2,2,75.53181
31,2,3,75.6973
31,2,4,75.82333
31,2,5,75.55588
32,2,1,76.04819
32,2,2,75.61741
32,2,3,75.79671
32,2,4,75.91673
32,2,5,75.66137
33,2,1,76.16542
33,2,2,75.7043
33,2,3,75.89917
33,2,4,76.01248
33,2,5,75.76841
34,2,1,76.28325
34,2,2,75.79727
34,2,3,76.0063
34,2,4,76.11087
34,2,5,75.87682
35,2,1,76.40213
35,2,2,75.94688
35,2,3,76.11256
35,2,4,76.21177
35,2,5,75.98826
36,2,1,76.52195
36,2,2,76.10691
36,2,3,76.22423
36,2,4,76.31558
36,2,5,76.10184
37,2,1,76.64312
37,2,2,76.26417
37,2,3,76.33685
37,2,4,76.42249
37,2,5,76.21842
38,2,1,76.76566
38,2,2,76.42096
38,2,3,76.45223
38,2,4,76.53255
38,2,5,76.33792
39,2,1,76.89002
39,2,2,76.57591
39,2,3,76.57056
39,2,4,76.64616
39,2,5,76.45918
40,2,1,77.01628
40,2,2,76.72992
40,2,3,76.69287
40,2,4,76.76353
40,2,5,76.58475
41,2,1,77.14465
41,2,2,76.88238
41,2,3,76.82094
41,2,4,76.88509
41,2,5,76.71338
42,2,1,77.27541
42,2,2,77.03462
42,2,3,76.94958
42,2,4,77.01082
42,2,5,76.84549
43,2,1,77.40842
43,2,2,77.18573
43,2,3,77.08258
43,2,4,77.14099
43,2,5,76.98174
44,2,1,77.54415
44,2,2,77.3359
44,2,3,77.22272
44,2,4,77.27596
44,2,5,77.12081
45,2,1,77.68224
45,2,2,77.48573
45,2,3,77.36675
45,2,4,77.41564
45,2,5,77.26505
46,2,1,77.82386
46,2,2,77.63583
46,2,3,77.51383
46,2,4,77.56103
46,2,5,77.41304
47,2,1,77.96897
47,2,2,77.78646
47,2,3,77.66743
47,2,4,77.71184
47,2,5,77.56646
48,2,1,78.11906
48,2,2,77.9413
48,2,3,77.82525
48,2,4,77.86852
48,2,5,77.72546
49,2,1,78.27509
49,2,2,78.10258
49,2,3,77.99159
49,2,4,78.03124
49,2,5,77.89008
50,2,1,78.43715
50,2,2,78.27112
50,2,3,78.16297
50,2,4,78.20048
50,2,5,78.06161
51,2,1,78.60622
51,2,2,78.44577
51,2,3,78.34058
51,2,4,78.37658
51,2,5,78.24033
52,2,1,78.78252
52,2,2,78.62827
52,2,3,78.52691
52,2,4,78.55999
52,2,5,78.42685
53,2,1,78.96683
53,2,2,78.81779
53,2,3,78.72145
53,2,4,78.75145
53,2,5,78.62164
54,2,1,79.15986
54,2,2,79.01667
54,2,3,78.92436
54,2,4,78.95127
54,2,5,78.82463
55,2,1,79.36148
55,2,2,79.22495
55,2,3,79.13507
55,2,4,79.16019
55,2,5,79.0374
56,2,1,79.57305
56,2,2,79.44164
56,2,3,79.35674
56,2,4,79.37838
56,2,5,79.25807
57,2,1,79.79482
57,2,2,79.66988
57,2,3,79.58753
57,2,4,79.60692
57,2,5,79.49048
58,2,1,80.02726
58,2,2,79.90791
58,2,3,79.83224
58,2,4,79.84612
58,2,5,79.73358
59,2,1,80.27091
59,2,2,80.15784
59,2,3,80.08489
59,2,4,80.09653
59,2,5,79.98646
60,2,1,80.52658
60,2,2,80.42044
60,2,3,80.35028
60,2,4,80.35866
60,2,5,80.25152
61,2,1,80.79463
61,2,2,80.69453
61,2,3,80.62764
61,2,4,80.63314
61,2,5,80.52823
62,2,1,81.07613
62,2,2,80.98068
62,2,3,80.91778
62,2,4,80.92051
62,2,5,80.81914
63,2,1,81.37076
63,2,2,81.28218
63,2,3,81.22097
63,2,4,81.22125
63,2,5,81.12244
64,2,1,81.67964
64,2,2,81.59658
64,2,3,81.5401
64,2,4,81.5359
64,2,5,81.43972
65,2,1,82.00296
65,2,2,81.92607
65,2,3,81.87254
65,2,4,81.86512
65,2,5,81.77133
66,2,1,82.3412
66,2,2,82.26909
66,2,3,82.21735
66,2,4,82.20843
66,2,5,82.11543
67,2,1,82.6949
67,2,2,82.62908
67,2,3,82.58088
67,2,4,82.56697
67,2,5,82.47489
68,2,1,83.06394
68,2,2,83.00337
68,2,3,82.95482
68,2,4,82.94111
68,2,5,82.84945
69,2,1,83.44941
69,2,2,83.39387
69,2,3,83.35036
69,2,4,83.33122
69,2,5,83.247
70,2,1,83.8517
70,2,2,83.80089
70,2,3,83.76001
70,2,4,83.73757
70,2,5,83.66625
71,2,1,84.27061
71,2,2,84.22394
71,2,3,84.18206
71,2,4,84.1602
71,2,5,84.10524
72,2,1,84.70539
72,2,2,84.66279
72,2,3,84.62621
72,2,4,84.59907
72,2,5,84.55628
73,2,1,85.15744
73,2,2,85.1176
73,2,3,85.0842
73,2,4,85.05427
73,2,5,85.02544
74,2,1,85.62596
74,2,2,85.58953
74,2,3,85.5576
74,2,4,85.52592
74,2,5,85.51031
75,2,1,86.11095
75,2,2,86.07778
75,2,3,86.0465
75,2,4,86.01383
75,2,5,86.00857
76,2,1,86.61132
76,2,2,86.58069
76,2,3,86.55596
76,2,4,86.51739
76,2,5,86.5254
77,2,1,87.12904
77,2,2,87.0993
77,2,3,87.07334
77,2,4,87.04083
77,2,5,87.05674
78,2,1,87.660668
78,2,2,87.634278
78,2,3,87.615865
78,2,4,87.586585
78,2,5,87.603389
79,2,1,88.208842
79,2,2,88.18386
79,2,3,88.165929
79,2,4,88.143522
79,2,5,88.164321
80,2,1,88.7721
80,2,2,88.748294
80,2,3,88.734558
80,2,4,88.720389
80,2,5,88.746215
81,2,1,89.3509
81,2,2,89.328892
81,2,3,89.321003
81,2,4,89.309878
81,2,5,89.340075
82,2,1,89.942844
82,2,2,89.923052
82,2,3,89.919156
82,2,4,89.91493
82,2,5,89.948972
83,2,1,90.548507
83,2,2,90.52884
83,2,3,90.529356
83,2,4,90.534675
83,2,5,90.576003
84,2,1,91.167658
84,2,2,91.150324
84,2,3,91.154531
84,2,4,91.168731
84,2,5,91.214841
85,2,1,91.800104
85,2,2,91.783942
85,2,3,91.799836
85,2,4,91.819465
85,2,5,91.872123
86,2,1,92.445336
86,2,2,92.431654
86,2,3,92.455555
86,2,4,92.482642
86,2,5,92.545586
87,2,1,93.103021
87,2,2,93.099516
87,2,3,93.12103
87,2,4,93.160857
87,2,5,93.232043
88,2,1,93.77301
88,2,2,93.778825
88,2,3,93.804592
88,2,4,93.85111
88,2,5,93.9391
89,2,1,94.452395
89,2,2,94.470677
89,2,3,94.501069
89,2,4,94.559543
89,2,5,94.663033
90,2,1,95.143326
90,2,2,95.172442
90,2,3,95.202093
90,2,4,95.280111
90,2,5,95.397617
91,2,1,95.846945
91,2,2,95.887244
91,2,3,95.9188
91,2,4,96.001879
91,2,5,96.133579
92,2,1,96.561718
92,2,2,96.610618
92,2,3,96.64332
92,2,4,96.729387
92,2,5,96.870821
93,2,1,97.287621
93,2,2,97.342754
93,2,3,97.375915
93,2,4,97.463097
93,2,5,97.610229
94,2,1,98.024609
94,2,2,98.083825
94,2,3,98.116826
94,2,4,98.203446
94,2,5,98.352654
95,2,1,98.772621
95,2,2,98.833977
95,2,3,98.866272
95,2,4,98.950845
95,2,5,99.098908
96,2,1,99.531573
96,2,2,99.59334
96,2,3,99.624448
96,2,4,99.705677
96,2,5,99.849769
97,2,1,100.301365
97,2,2,100.362018
97,2,3,100.391525
97,2,4,100.468298
97,2,5,100.605976
98,2,1,101.081881
98,2,2,101.140097
98,2,3,101.167656
98,2,4,101.239039
98,2,5,101.368231
99,2,1,101.872994
99,2,2,101.927647
99,2,3,101.952973
99,2,4,102.018206
99,2,5,102.137203
100,2,1,102.674574
100,2,2,102.724726
100,2,3,102.747595
100,2,4,102.806087
100,2,5,102.913531
